url,status,reason
https://handbook.gitlab.com/handbook/company/culture/all-remote/workspace/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/asynchronous/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/evaluate/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/how-to-work-remote-first/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/remote-values/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/repurposing-office-space/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/hybrid-remote/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/remote-vision/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/informal-communication/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/out-of-the-office/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/parenting/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/people/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/remote-work-emergency-plan/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/events/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/remote-work-glossary/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/stories/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/resources/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/scaling/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/remote-work-starter-guide/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/stages/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/non-linear-workday/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/onboarding/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/getting-started/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/drawbacks/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/internship/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/handbook-first/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/the-gitlab-test-remote-work/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/phases-of-remote-adaptation/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/remote-work-report/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/what-not-to-do/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/terminology/,success,
https://handbook.gitlab.com/handbook/company/culture/all-remote/work-from-home-field-guide/,success,
https://handbook.gitlab.com/handbook/company/culture/cross-culture-collaboration-guide/,success,
https://handbook.gitlab.com/handbook/company/culture/inclusion/,success,
https://handbook.gitlab.com/handbook/company/culture/inclusion/unconscious-bias/,success,
https://handbook.gitlab.com/handbook/company/culture/inclusion/being-inclusive/,success,
https://handbook.gitlab.com/handbook/company/culture/inclusion/advisory-group-members/,success,
https://handbook.gitlab.com/handbook/company/culture/inclusion/dib-working-groups/,success,
https://handbook.gitlab.com/handbook/company/culture/inclusion/dib-working-groups/inclusive-practices/,success,
https://handbook.gitlab.com/handbook/company/culture/inclusion/dib-communications-strategy/,success,
https://handbook.gitlab.com/handbook/company/culture/inclusion/engineering-initiatives/,success,
https://handbook.gitlab.com/handbook/company/culture/inclusion/tmdg-gitlab-early-career/,success,
https://handbook.gitlab.com/handbook/company/culture/inclusion/tmag-mental-health/,success,
https://handbook.gitlab.com/handbook/company/culture/inclusion/identity-data/,success,
https://handbook.gitlab.com/handbook/company/culture/inclusion/leadership-dib-council/,success,
https://handbook.gitlab.com/handbook/company/culture/inclusion/neurodiversity-short-course/,success,
https://handbook.gitlab.com/handbook/company/culture/inclusion/neurodiversity-resources/,success,
https://handbook.gitlab.com/handbook/company/culture/inclusion/dib-sponsorship/,success,
